model_name,r2_log_scale,r2_dollar_scale,mape,mdape
Linear Regression A (train-only outlier cutoff),0.4578,-0.378,37.86,29.53
Decision Tree (default),0.8397078794130579,0.742602317057484,18.053997291847264,11.943813131313204
Decision Tree (max_depth=10),0.8286881061720301,0.7496727120523765,19.221632956787225,13.891705125273512
Random Forest (n_estimators=100),0.9159425902329318,0.854034585006373,12.923888515794257,8.773830747266404
